what,kind,bundleId,bundleVersion,description,time
stopped,bundle,junit.extensions.eclipse.quick,0.7.0.201204240825,"junit.extensions.eclipse.quick",1405404973325
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1405404973325
stopped,bundle,junit.extensions.eclipse.quick.mock,0.3.2.201204240825,"junit.extensions.eclipse.quick.mock",1405404973325
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1405404973327
stopped,bundle,org.eclipse.rap.ui.launch.rwt,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch.rwt",1405404973329
stopped,bundle,runjettyrun,1.3.3.201203161919,"runjettyrun",1405404973331
stopped,bundle,net.sf.jadclipse,3.3.0,"net.sf.jadclipse",1405404973332
stopped,bundle,tk.eclipse.plugin.htmleditor,2.2.7,"tk.eclipse.plugin.htmleditor",1405404973336
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1405404973337
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1405404973340
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1405404973341
stopped,bundle,de.loskutov.anyedit.AnyEditTools,2.4.1.201204040004,"de.loskutov.anyedit.AnyEditTools",1405404973342
stopped,bundle,net.certiv.ntail,1.3.0.201006150903,"net.certiv.ntail",1405404973343
stopped,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1405404973343
stopped,bundle,net.sf.eclipsecs.core,5.5.0.201111092104,"net.sf.eclipsecs.core",1405404973343
stopped,bundle,org.limy.eclipse.code,1.4.6,"org.limy.eclipse.code",1405404973345
stopped,bundle,org.limy.eclipse.prop,1.2.6,"org.limy.eclipse.prop",1405404973347
stopped,bundle,org.limy.eclipse.web,1.3.8,"org.limy.eclipse.web",1405404973348
stopped,bundle,org.limy.eclipse.core,1.5.3,"org.limy.eclipse.core",1405404973351
stopped,bundle,org.seasar.resource.synchronizer,0.0.5,"org.seasar.resource.synchronizer",1405404973361
stopped,bundle,tarlog.eclipse.plugins,1.4.2,"tarlog.eclipse.plugins",1405404973364
stopped,bundle,com.googlecode.veloeclipse.ui,2.0.8,"com.googlecode.veloeclipse.ui",1405404973368
stopped,bundle,org.seasar.dbflute.emecha.eclipse.plugin.dfassist,0.0.3.1,"org.seasar.dbflute.emecha.eclipse.plugin.dfassist",1405404973370
stopped,bundle,org.seasar.dbflute.emecha.eclipse.plugin.emsql,0.0.3.0,"org.seasar.dbflute.emecha.eclipse.plugin.emsql",1405404973372
stopped,bundle,com.hudson.velocityweb,1.6.5,"com.hudson.velocityweb",1405404973375
stopped,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1405404973375
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1405404973377
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1405404973379
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1405404973382
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1405404973383
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1405404973383
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1405405003789
